step,true_state,measurement
0,0.0,0.0
1,0.152359,-0.748294
2,0.527584,1.342137
3,-0.447933,-1.575654
4,-0.384013,-0.657887
5,-0.392414,-1.131172
6,0.047285,0.720873
7,0.080301,1.05652
8,0.314055,-0.430114
9,0.498431,-0.331986
10,0.937656,0.894419
11,0.845225,0.255522
12,1.456495,1.322669
13,1.242331,0.937375
14,1.508486,1.82497
15,1.714852,2.087954
16,2.785676,2.43371
17,2.529555,1.824807
18,2.837544,3.815263
19,2.780571,2.052974
20,2.36833,2.93176
21,2.739957,3.210342
22,2.407202,2.60826
23,2.465545,2.654935
24,2.90126,3.094899
25,3.240716,3.299241
26,3.385276,3.931988
27,2.656698,2.379855
28,2.421512,1.868227
29,2.283941,3.578598
30,1.851025,2.689579
31,1.00959,0.719571
32,1.090967,1.59865
33,1.44658,2.133639
34,1.272217,0.871809
35,1.701205,1.535531
36,1.063362,0.081907
37,0.603636,1.03419
38,0.674849,1.272827
39,0.461223,0.598522
40,0.774018,0.506116
41,1.002405,0.429161
42,0.820879,0.490284
43,0.222959,0.644689
44,-0.011742,-0.000922
45,0.228631,0.615338
46,0.561323,0.476033
47,0.349674,0.280636
48,-0.493993,-1.747229
49,-1.155343,-2.018984
50,-0.955456,-1.739623
51,-1.144537,-0.019372
52,-1.322669,-0.683962
53,-1.789478,-1.967392
54,-2.264489,-2.5581
55,-1.844335,-3.340238
56,-1.627123,-1.421238
57,-1.924198,-3.176521
58,-1.888133,-2.346687
59,-1.771795,-1.75287
60,-0.970906,-1.178194
61,-1.482654,-1.327397
62,-1.372656,-0.195565
63,-0.9551,-0.646041
64,-0.223449,-1.252948
65,-0.543325,-1.345763
66,-0.73823,-1.930475
67,-0.420654,-0.613105
68,-1.156057,-2.035574
69,-0.9993,-0.273461
70,-0.000935,2.522544
71,0.20627,-0.650695
72,-0.859753,-0.627908
73,-1.266224,-1.625934
74,-1.572272,-1.694201
75,-1.039282,-0.903274
76,-1.1186,-2.015502
77,-1.955941,-2.377096
78,-1.982832,-0.45176
79,-1.917695,-1.066618
80,-2.167343,-3.193534
81,-2.649901,-3.277965
82,-1.585666,-2.297008
83,-1.166422,-1.94838
84,-0.700635,-0.367258
85,-0.778954,-0.814256
86,-1.106348,-0.720038
87,-1.33384,-2.395245
88,-1.972809,-1.823343
89,-1.183263,-1.044706
90,-1.242582,-0.995049
91,-0.589581,-0.39959
92,-0.795045,0.163029
93,-0.580667,0.749337
94,-0.489049,-1.549471
95,-1.173129,0.256617
96,-0.311296,-0.466764
97,-0.50289,0.762758
98,-1.056413,-1.831269
99,-0.734749,-1.076487
100,-0.73731,-0.878856
101,-0.568523,0.650392
102,-0.52323,0.034437
103,-1.548316,-1.590508
104,-1.969932,-3.025455
105,-2.409008,-2.698367
106,-1.951057,-3.099746
107,-1.935741,-2.355044
108,-2.099577,-1.231164
109,-1.83052,-0.672299
110,-1.907772,-2.510476
111,-2.019702,-1.809693
112,-1.931415,-2.870523
113,-1.88617,-1.688519
114,-0.627433,0.997962
115,-1.054055,-1.302936
116,-1.785776,-2.297343
117,-1.627973,-0.583674
118,-1.992515,-2.559023
119,-3.06616,-3.207033
120,-3.597367,-4.055875
121,-4.035797,-4.117431
122,-4.914662,-6.18516
123,-3.850038,-4.964979
124,-4.398431,-2.807617
125,-2.945897,-3.960504
126,-3.130022,-2.834226
127,-2.265673,-3.120316
128,-2.388312,-1.715118
129,-2.170929,-2.49669
130,-2.23784,-3.428535
131,-2.356927,-2.587626
132,-2.240842,-2.72177
133,-2.005073,-1.128035
134,-1.927358,-1.622728
135,-1.900781,-1.900708
136,-2.26156,-1.987468
137,-2.310203,-0.497466
138,-1.523526,-1.189373
139,-1.905054,-2.868431
140,-1.309483,-1.081935
141,-1.069411,-2.580267
142,-0.605692,-0.212152
143,-1.160907,-1.56926
144,-1.029048,-0.983611
145,-1.175134,-1.264758
146,-1.301123,-1.169
147,-0.565377,-2.788168
148,-0.683802,-0.530938
149,-0.535805,-0.857892
150,-1.414166,-1.130113
151,-0.550491,-1.878854
152,-0.118577,-0.403088
153,-0.149239,-1.061076
154,-0.316467,0.809405
155,-0.025139,1.475087
156,0.563567,0.943827
157,1.435534,1.815713
158,1.849528,1.59269
159,1.882801,1.278814
160,2.377593,1.357152
161,2.768768,2.603659
162,3.354392,4.004663
163,4.264715,4.897584
164,3.478695,3.420711
165,2.892691,2.443847
166,3.648305,4.200426
167,3.29884,2.420935
168,3.315231,2.261659
169,2.979661,3.249869
170,3.557317,4.08452
171,2.411672,2.675261
172,2.447689,2.806128
173,3.255794,1.468977
174,2.960242,3.471982
175,2.169445,3.447654
176,2.353623,3.086786
177,2.068151,2.772891
178,2.602387,2.804065
179,2.719588,2.953712
180,2.287915,2.160151
181,2.211654,2.543682
182,2.711566,1.794847
183,2.649061,3.932039
184,2.277267,1.565178
185,2.37842,3.109679
186,2.384133,3.535047
187,2.81253,3.541568
188,3.089589,5.105395
189,2.987008,1.251906
190,3.789135,3.392756
191,3.843075,4.977179
192,3.041945,1.957987
193,2.241306,1.553564
194,2.461125,2.915085
195,2.599262,1.375771
196,1.44421,1.491282
197,1.208322,1.606162
198,1.559299,1.679019
199,1.939365,2.137868
200,2.204398,1.594133
201,2.114592,2.285005
202,2.524856,2.183866
203,2.78544,2.555217
204,2.726669,3.445053
205,1.730139,0.607361
206,0.989046,-1.031925
207,0.649914,1.298942
208,0.507472,0.678763
209,1.05208,2.20189
210,1.017511,2.189751
211,1.063575,0.338367
212,0.766375,-0.515808
213,0.322308,0.012256
214,0.7241,2.214331
215,0.033009,0.373208
216,-0.487263,-0.076163
217,-0.552806,-2.138417
218,-0.088657,-0.612603
219,-0.355608,-1.28204
220,-0.682749,-0.312185
221,-0.777371,-0.492742
222,-0.59641,0.547316
223,-0.767803,-2.0468
224,-0.234192,-0.521269
225,0.323104,0.655118
226,0.257535,0.559584
227,1.233041,3.031759
228,1.267732,1.406461
229,1.805852,1.073488
230,1.972387,1.949989
231,2.129341,1.407623
232,1.334558,-0.460699
233,0.775866,0.378641
234,0.62927,2.306961
235,1.182266,0.349071
236,1.356121,1.003581
237,1.213939,1.374436
238,1.523524,1.229718
239,2.05545,1.066503
240,2.05862,4.308271
241,2.17016,3.41136
242,2.21592,2.718887
243,2.187528,2.039951
244,1.797787,2.170439
245,1.372018,1.948432
246,1.914662,2.232087
247,1.771537,2.164683
248,1.617201,2.427408
249,0.701498,0.410853
250,-0.293908,-1.588669
251,0.388023,1.163276
252,0.028283,-1.272923
253,-1.453982,-1.924663
254,-0.243774,0.132847
255,-0.52356,-0.120789
256,-1.304039,-1.561529
257,-1.254301,-1.328866
258,-0.858898,-0.560426
259,-0.524735,-1.120883
260,-0.075827,1.334874
261,-0.560902,-1.329669
262,0.10699,-0.058718
263,0.808901,0.425654
264,1.536424,1.650294
265,1.665538,3.020624
266,1.484653,0.669617
267,1.260371,1.652104
268,0.477491,1.029557
269,0.208106,1.202141
270,-0.989024,-1.67021
271,-1.832258,-2.547794
272,-1.708425,-1.86364
273,-1.835114,-1.972972
274,-1.73342,-2.606838
275,-1.379995,-0.80611
276,-1.187476,-0.705504
277,-1.039267,0.723158
278,-1.082814,-1.348756
279,-1.459578,-2.353544
280,-2.081814,-2.851535
281,-2.117154,-1.827646
282,-2.091583,-2.754556
283,-1.641491,-1.001141
284,-1.721315,-2.286757
285,-1.447101,-1.284311
286,-2.171165,-2.230037
287,-2.040147,-2.819305
288,-1.945225,-3.205138
289,-1.277132,-0.196376
290,-1.403391,-1.08863
291,-2.608352,-3.609778
292,-2.755241,-3.683736
293,-2.398043,-0.668333
294,-2.98635,-3.711615
295,-2.868626,-1.473359
296,-3.479813,-3.264142
297,-2.569164,-3.999629
298,-3.209699,-3.576553
299,-3.469993,-2.766259
300,-3.349163,-4.886325
301,-3.091458,-3.591621
302,-2.454234,-2.997741
303,-2.772542,-2.303908
304,-2.391078,-2.003013
305,-3.233877,-2.767926
306,-3.751031,-3.547276
307,-4.462898,-4.076372
308,-4.866198,-5.976992
309,-4.509288,-4.300017
310,-4.816276,-3.559518
311,-5.036602,-5.008796
312,-4.902146,-5.438792
313,-4.666577,-5.128561
314,-4.872397,-3.692314
315,-5.39269,-7.482219
316,-4.587221,-2.379438
317,-4.789856,-6.467207
318,-4.945098,-5.192974
319,-5.04006,-6.004282
320,-4.750279,-4.296042
321,-5.497482,-4.89196
322,-4.471139,-4.322217
323,-4.639802,-4.76278
324,-4.332174,-5.830979
325,-4.249978,-4.58813
326,-3.326066,-3.476904
327,-2.492122,-3.447989
328,-2.198492,-1.921884
329,-2.633016,-2.479387
330,-2.026757,-2.307168
331,-2.872738,-2.887948
332,-3.323949,-3.620425
333,-3.364743,-4.841882
334,-4.172573,-3.75509
335,-4.433932,-6.655066
336,-4.04151,-3.805631
337,-4.398447,-5.538856
338,-3.980543,-3.677997
339,-2.789242,-2.425348
340,-2.595391,-2.739954
341,-2.187003,-1.645663
342,-1.56114,-2.012619
343,-1.778844,-2.193759
344,-1.383443,-0.085813
345,-1.612863,-1.980728
346,-1.455825,-1.66866
347,-0.979798,-2.929894
348,-1.39315,-2.070743
349,-2.553328,-3.387864
350,-3.010906,-3.185068
351,-2.454424,-2.666652
352,-2.96983,-3.019154
353,-2.445244,-3.290449
354,-2.900531,-2.416813
355,-3.011299,-2.450561
356,-3.018122,-2.410464
357,-3.535662,-3.546127
358,-3.641007,-4.693999
359,-4.422746,-3.828869
360,-4.598222,-5.483542
361,-4.646311,-3.669418
362,-5.78668,-7.082807
363,-6.248123,-4.982705
364,-6.10683,-5.442314
365,-6.67691,-7.646457
366,-6.453003,-6.402536
367,-6.178634,-6.341162
368,-6.039562,-5.902627
369,-5.650678,-4.951789
370,-6.460614,-8.406806
371,-5.959742,-4.931142
372,-6.470053,-8.080718
373,-6.420536,-5.614406
374,-5.521739,-5.074612
375,-5.707597,-6.481071
376,-5.701871,-5.961042
377,-6.209405,-4.435131
378,-5.316821,-4.332974
379,-5.777246,-5.036778
380,-5.457433,-5.074177
381,-4.8326,-4.282353
382,-4.462593,-3.911016
383,-4.292198,-5.83685
384,-4.250387,-4.732063
385,-4.890308,-3.433812
386,-4.02581,-2.84869
387,-3.898203,-2.728527
388,-3.892177,-3.716549
389,-4.438912,-4.095108
390,-4.408719,-5.536849
391,-4.434318,-4.503366
392,-3.535537,-2.761126
393,-3.529815,-3.314358
394,-3.507708,-3.683437
395,-4.048922,-4.179737
396,-4.421971,-5.504776
397,-4.16636,-3.827515
398,-5.059714,-5.165962
399,-4.561863,-3.644549
400,-4.048945,-4.015245
401,-4.471467,-5.409978
402,-4.299165,-3.970699
403,-3.655499,-2.702889
404,-3.721614,-4.799128
405,-3.881167,-3.693039
406,-3.982209,-4.48268
407,-3.855766,-4.292207
408,-4.169799,-3.900073
409,-4.370796,-4.159395
410,-4.234194,-5.220968
411,-4.474814,-3.229663
412,-5.055854,-6.88893
413,-5.986777,-5.961567
414,-5.971318,-6.073172
415,-5.364223,-7.678965
416,-5.166256,-3.814011
417,-5.730146,-6.059068
418,-6.106592,-6.881119
419,-6.269723,-5.033485
420,-5.35103,-5.641962
421,-4.3985,-4.36769
422,-3.521654,-3.602453
423,-3.456125,-3.139615
424,-1.866699,-1.129464
425,-2.220331,-1.381154
426,-2.401247,-2.825383
427,-1.946947,-1.920026
428,-1.807659,-1.795547
429,-1.639367,-1.271336
430,-2.60785,-2.030582
431,-3.09886,-4.347928
432,-3.128066,-3.055336
433,-3.474819,-2.755124
434,-4.145906,-4.49833
435,-4.438344,-4.478689
436,-4.298911,-5.171772
437,-3.93677,-3.882208
438,-4.882743,-6.578933
439,-4.888903,-5.080266
440,-4.940613,-4.964846
441,-4.827833,-4.007144
442,-5.383385,-6.398343
443,-5.930047,-5.679838
444,-5.307574,-5.681125
445,-6.558424,-8.034125
446,-6.974942,-7.457949
447,-7.179136,-7.145724
448,-7.335009,-6.426255
449,-7.673018,-8.419807
450,-7.43358,-8.763485
451,-7.238734,-7.149921
452,-7.312456,-5.936968
453,-7.623559,-5.839289
454,-7.736275,-8.842204
455,-7.701315,-8.633371
456,-8.077193,-7.733352
457,-7.799402,-8.338215
458,-7.3057,-6.303269
459,-6.587549,-6.129063
460,-5.905834,-7.534654
461,-6.064788,-6.815636
462,-6.005175,-6.500064
463,-6.088254,-4.458242
464,-6.173114,-5.814759
465,-6.289248,-6.223679
466,-6.28624,-5.89798
467,-5.703586,-4.276901
468,-5.548776,-5.038214
469,-6.124208,-6.200312
470,-5.654064,-4.904113
471,-5.548259,-4.780619
472,-5.302875,-4.26338
473,-5.158196,-5.46624
474,-4.990275,-7.528244
475,-4.798832,-7.95845
476,-5.660564,-5.269321
477,-5.421799,-6.428492
478,-5.77785,-4.590927
479,-6.019865,-4.077439
480,-6.020825,-5.667456
481,-5.212388,-5.098915
482,-5.71356,-5.808587
483,-5.731366,-6.913266
484,-5.859282,-6.502039
485,-5.397103,-5.367128
486,-5.538501,-5.630457
487,-5.42694,-4.892763
488,-5.926796,-6.828837
489,-5.374456,-5.73155
490,-6.082877,-5.698524
491,-5.851192,-7.17683
492,-5.736451,-5.099418
493,-5.549258,-5.001946
494,-6.251393,-5.964703
495,-6.402703,-6.820811
496,-5.967425,-4.686335
497,-5.07024,-3.931583
498,-5.125107,-4.819642
499,-4.741695,-4.636752
